pr_number,pr_owner,first_pr,pr_commits,pr_comments,merged,linked,sameOwner,comments,commentsB4,ownerComments,ownerCommentsB4,mergerComments,mergerCommentsB4
611,fabiant7t,0,1,0,0,0,,,,,,,
608,s0undt3ch,0,1,0,0,0,,,,,,,
609,terminalmage,0,3,0,1,0,,,,,,,
613,s0undt3ch,0,1,0,0,1,0,22,22,0,0,,
619,mattrobenolt,0,0,0,0,0,,,,,,,
617,jcollie,0,1,0,1,1,0,0,0,0,0,0,0
622,chjohnst,1,1,0,1,0,,,,,,,
620,akoumjian,1,1,0,1,0,,,,,,,
621,akoumjian,0,1,0,1,0,,,,,,,
627,chjohnst,0,1,0,1,0,,,,,,,
626,chjohnst,0,2,0,0,0,,,,,,,
624,chjohnst,0,1,0,1,0,,,,,,,
629,fatbox,0,1,0,1,0,,,,,,,
628,terminalmage,0,1,0,1,0,,,,,,,
635,0xDEC0DE,1,1,0,1,0,,,,,,,
633,epoelke,0,1,0,1,0,,,,,,,
632,whiteinge,0,1,0,1,1,1,1,1,0,0,1,1
638,blast-hardcheese,1,1,1,1,0,,,,,,,
578,cedwards,0,2,0,0,0,,,,,,,
580,gcw,0,1,0,0,0,,,,,,,
581,terminalmage,0,1,0,1,1,0,3,1,2,0,1,1
582,s0undt3ch,0,1,0,0,1,0,0,0,0,0,,
583,s0undt3ch,0,12,0,0,1,0,10,10,0,0,,
585,binarydud,1,7,1,0,1,0,3,3,0,0,,
587,s0undt3ch,0,2,0,0,0,,,,,,,
588,s0undt3ch,0,27,2,0,0,,,,,,,
589,epoelke,0,9,0,1,0,,,,,,,
591,syphernl,0,1,1,1,0,,,,,,,
593,Katafalkas,0,1,0,0,0,,,,,,,
592,mafrosis,0,1,0,0,0,,,,,,,
594,maspwr,0,7,0,0,0,,,,,,,
596,s0undt3ch,0,1,0,0,0,,,,,,,
599,s0undt3ch,0,27,0,0,1,0,2,2,0,0,,
598,s0undt3ch,0,1,0,0,0,,,,,,,
601,DamianZaremba,0,8,0,0,0,,,,,,,
600,brutasse,0,1,0,0,0,,,,,,,
603,epoelke,0,1,0,1,0,,,,,,,
602,tempspace,0,1,0,0,0,,,,,,,
604,DamianZaremba,0,1,0,0,0,,,,,,,
607,UtahDave,0,1,0,0,0,,,,,,,
606,s0undt3ch,0,1,0,0,1,0,19,19,0,0,,
684,vittyvk,0,1,1,1,0,,,,,,,
683,cvrebert,0,0,0,0,0,,,,,,,
681,bretep,1,1,0,1,0,,,,,,,
680,vittyvk,1,1,1,0,0,,,,,,,
674,byronclark,0,1,0,1,1,1,3,3,1,1,2,2
702,elfixit,0,2,0,1,0,,,,,,,
700,elfixit,0,1,0,1,0,,,,,,,
698,maspwr,0,1,0,0,0,,,,,,,
699,maspwr,0,2,0,0,0,,,,,,,
696,maspwr,0,150,0,0,0,,,,,,,
697,maspwr,0,1,0,0,0,,,,,,,
691,mattrobenolt,0,0,0,0,0,,,,,,,
652,f0rk,0,1,0,0,0,,,,,,,
649,mattrobenolt,0,0,0,0,0,,,,,,,
648,terminalmage,0,1,9,0,0,,,,,,,
645,akoumjian,0,1,2,1,0,,,,,,,
644,epoelke,0,1,0,1,0,,,,,,,
647,maspwr,0,194,0,0,0,,,,,,,
640,terminalmage,0,1,0,1,0,,,,,,,
643,rca,0,1,0,0,0,,,,,,,
